Name,UID,Code,Parent UID,Short name,Description,Opening date,Closed date,Comment,Feature type,Coordinates,URL,Contact person,Address,Email,Phone number
TA Masumbankhunda,1XTN6223BFS,,YUZGVN27VV7,Masumbankhunda,,,,,,,,,Lilongwe,,
TA Mazengera,LUY9ZNCH7SE,,YUZGVN27VV7,Mazengera,,,,,,,,,Lilongwe,,
TA Mtema,8S15K005W2S,,YUZGVN27VV7,Mtema,,,,,,,,,Lilongwe,,
TA Njewa,PT9695002MB,,YUZGVN27VV7,Njewa,,,,,,,,,Lilongwe,,
TA Tsabango,L1V2R5CW938,,YUZGVN27VV7,Tsabango,,,,,,,,,Lilongwe,,
TA Chamba,32XR93ZSM8D,,Y12N1916064,Chamba,,,,,,,,,Machinga,,
TA Chikweo,F4C7HSZQ0M2,,Y12N1916064,TA Chikweo,,,,,,,,,Machinga,,
TA Chiwalo,B2F65T8N48Q,,Y12N1916064,Chiwalo,,,,,,,,Duplicate,Machinga,,
TA Kankhomba,M0137EFHC55,,Y12N1916064,TA Kankhomba,,,,,,,,,Machinga,,
TA Kapoloma,OAP4I71AO1P,,Y12N1916064,Kapoloma,,,,,,,,,Machinga,,
TA Kawinga,0PA3922L19R,,Y12N1916064,TA Kawinga,,,,,,,,,Machinga,,
TA Liwonde,9V18YF65RY0,,Y12N1916064,TA Liwonde,,,,,,,,,Machinga,,
TA Mchinguza,NNU5E62KJS5,,Y12N1916064,TA Mchinguza,,,,,,,,,Machinga,,
TA Mlomba,9WQY8GJU1HM,,Y12N1916064,TA Mlomba,,,,,,,,,Machinga,,
TA Mposa,567A1L637NR,,Y12N1916064,Mposa,,,,,,,,,Machinga,,
TA Ngokwe,S2E37Y27ZB3,,Y12N1916064,TA Ngokwe,,,,,,,,,Machinga,,
TA Nkoola,9EP37182WKG,,Y12N1916064,TA Nkoola,,,,,,,,,Machinga,,
TA Mkula,W666A4092XM,,Y12N1916064,Mkula,,,,,,,,,Machinga,,
TA Nsanama,YWGRM13E4C4,,Y12N1916064,TA Nsanama,,,,,,,,,Machinga,,
TA Nyambi,Y6A1M21389O,,Y12N1916064,TA Nyambi,,,,,,,,,Machinga,,
TA Sitola,758PV733XBN,,Y12N1916064,TA Sitola,,,,,,,,,Machinga,,
TA Bwananyambi,8PB3K29SYOB,,3D33MR4I446,TA Bwananyambi,,,,,,,,,Mangochi,,
TA Chilipa,3O3I018J45Z,,3D33MR4I446,TA Chilipa,,,,,,,,,Mangochi,,
TA Jalasi,9RKXGWZNOL5,,3D33MR4I446,TA Jalasi,,,,,,,,,Mangochi,,
TA Mponda,S268C44Y558,,3D33MR4I446,TA Mponda,,,,,,,,,Mangochi,,
TA Namabvi,5E4XW7L803X,,3D33MR4I446,TA Namabvi,,,,,,,,,Mangochi,,
TA Nankumba,0ELGFWJ4HSW,,3D33MR4I446,TA Nankumba,,,,,,,,,Mangochi,,
TA Makanjila,0ELGFWJ4FSW,,3D33MR4I446,TA Makanjila,,,,,,,,,,,
TA Katuli,6E5XW7L803X,,3D33MR4I446,TA Katuli,,,,,,,,,,,
TA Chowe,1RKXGWZNOL7,,3D33MR4I446,TA Chowe,,,,,,,,,,,
TA Chimwala,S165C44Y388,,3D33MR4I446,TA Chimwala,,,,,,,,,,,
TA Dambe,982ZJ9U0C20,,P9Z9B7I5Z49,Dambe,,,,,,,,Duplicate,Mchinji,,
TA Gumba,5LH40K3XAFE,,P9Z9B7I5Z49,Gumba,,,,,,,,,Mchinji,,
TA Kapondo,VTJP7E5GYZ8,,P9Z9B7I5Z49,Kapondo,,,,,,,,,Mchinji,,
TA Kazyozyo,4S806M1FAPE,,P9Z9B7I5Z49,Kazyozyo,,,,,,,,,Mchinji,,
TA Mavwere,LHPDNZ75309,,P9Z9B7I5Z49,Mavwere,,,,,,,,,Mchinji,,
TA Mduwa,FD1O1P3YW7P,,P9Z9B7I5Z49,Mduwa,,,,,,,,,Mchinji,,
TA Mkanda,KO3862ZXT3K,,P9Z9B7I5Z49,Mkanda,,,,,,,,Duplicate,Mchinji,,
TA Mlonyeni,284Y5HOPG02,,P9Z9B7I5Z49,Mlonyeni,,,,,,,,,Mchinji,,
TA Nyoka,J8RGD55T4I1,,P9Z9B7I5Z49,Nyoka,,,,,,,,,Mchinji,,
TA Simphasi,28Z9LBI3JP7,,P9Z9B7I5Z49,Simphasi,,,,,,,,,Mchinji,,
TA Zulu,UPADPK51FTP,,P9Z9B7I5Z49,Zulu,,,,,,,,,Mchinji,,
TA Chikumbu,TW8T0D43D1S,,23X9ID7085J,TA Chikumbu,,,,,,,,,Mulanje,,
TA Juma,KXSQMKWZE7Y,,23X9ID7085J,Juma,,,,,,,,,Mulanje,,
TA Mabuka,12BSZBVS3J0,,23X9ID7085J,TA Mabuka,,,,,,,,,Mulanje,,
TA Nkanda,4U9J5V83J9G,,23X9ID7085J,Nkanda,,,,,,,,Duplicate,Mulanje,,
TA Njema,2842XHC3TQ7,,23X9ID7085J,TA Njema,,,,,,,,,Mulanje,,
TA Sunganinzeru,KTEI1JB9QW4,,23X9ID7085J,TA Sunganinzeru,,,,,,,,,Mulanje,,
TA Nthiramanja,STWLLU98T0I,,23X9ID7085J,Nthiramanja,,,,,,,,,Mulanje,,
TA Tombodiya,WGGX9ODE5MA,,23X9ID7085J,Tombodiya,,,,,,,,,Mulanje,,
TA Laston Njema,WGGX3ODE6NA,,23X9ID7085J,Laston Njema,,,,,,,,,,,
TA Kanduku,Y61550006XS,,I28JL6Z37LK,Kanduku,,,,,,,,,Mwanza,,
TA Nthache,81C4MR9FQ4R,,I28JL6Z37LK,Nthache,,,,,,,,,Mwanza,,
STA Levi Jere,ENP07SI49X3,,96XVM25Q836,Levi Jere,,,,,,,,,Mzimba,,
TA Chindi,4L4NFFN7GQ5,,96XVM25Q836,Chindi,,,,,,,,,Mzimba,,
TA Jaravikuba Munthali,DTT256S181H,,96XVM25Q836,Jaravikuba Munthali,,,,,,,,,Mzimba,,
TA Kampingo Sibande,2IU45WX7K72,,96XVM25Q836,Kampingo Sibande,,,,,,,,,Mzimba,,
TA Khosolo Gwaza Jere,WK976036AK4,,96XVM25Q836,Khosolo Gwaza Jere,,,,,,,,,Mzimba,,
TA M’mbelwa,9KG535078SA,,96XVM25Q836,M’mbelwa,,,,,,,,,Mzimba,,
TA Mabulabo,P5NRSM8SFXH,,96XVM25Q836,Mabulabo,,,,,,,,,Mzimba,,
TA Mpherembe,026SAUZ6866,,96XVM25Q836,Mpherembe,,,,,,,,,Mzimba,,
TA Mtwalo,ZE9OLEH2BO8,,96XVM25Q836,Mtwalo,,,,,,,,,Mzimba,,
TA Mzikubola,3FCVKCYB65Y,,96XVM25Q836,Mzikubola,,,,,,,,,Mzimba,,
TA Mzukuzuku,MW3CF0126OB,,96XVM25Q836,Mzukuzuku,,,,,,,,,Mzimba,,
TA Chekucheku,H67UVZ808Q3,,NY4EK0ONL46,Chekucheku,,,,,,,,,Neno,,
TA Dambe,4S210XR3897,,NY4EK0ONL46,Dambe,,,,,,,,Duplicate,Neno,,
TA Mlauli,H0254LU1610,,NY4EK0ONL46,Mlauli,,,,,,,,,Neno,,
TA Symon Likongwe,29SBZWD6WZE,,NY4EK0ONL46,Symon Likongwe,,,,,,,,,Neno,,
STA Mkondowe ,QKOB69QJA6M,,4T029936L6Y,Mkondowe,,,,,,,,,Nkhatabay,,
STA Nyaluwanga ,527B20O7Q2H,,4T029936L6Y,Nyaluwanga,,,,,,,,,Nkhatabay,,
TA Boghoyo,37N8870VZJ6,,4T029936L6Y,Boghoyo,,,,,,,,,Nkhatabay,,
TA Fukamalaza ,53JF9WUR89E,,4T029936L6Y,Fukamalaza ,,,,,,,,,Nkhatabay,,
TA Fukamapiri,S27G2AI7MD1,,4T029936L6Y,Fukamapiri,,,,,,,,,Nkhatabay,,
TA Kabunduli ,2C0IC59RAI2,,4T029936L6Y,Kabunduli ,,,,,,,,,Nkhatabay,,
TA M’bwana ,97680AEH1G6,,4T029936L6Y,M'bwana,,,,,,,,,Nkhatabay,,
TA Malanda ,VJ63T24P9FF,,4T029936L6Y,Malanda ,,,,,,,,,Nkhatabay,,
TA Malenga Mzoma,K5UG2W2BGDH,,4T029936L6Y,Malenga Mzoma,,,,,,,,,Nkhatabay,,
TA Mankhambira ,2M71KI030MT,,4T029936L6Y,Mankhambira ,,,,,,,,,Nkhatabay,,
TA Mkumbira ,577D8F6FFJ0,,4T029936L6Y,Mkumbira ,,,,,,,,,Nkhatabay,,
TA Timbiri ,33T7TS9V182,,4T029936L6Y,Timbiri ,,,,,,,,,Nkhatabay,,
TA Zilakoma,85J589562R9,,4T029936L6Y, Zilakoma,,,,,,,,,Nkhatabay,,
STA Kalimanjira,P73399M68CJ,,83R42PJ617D,Kalimamnjira,,,,,,,,,Nkhotakota,,
STA Nkhanga,328MJ4X59LR,,83R42PJ617D,Nkhanga,,,,,,,,,Nkhotakota,,
TA Kafuzila,1QWO8787070,,83R42PJ617D,Kafuzila,,,,,,,,,Nkhotakota,,
TA Kamenyagwaza,378A0KKEMA3,,83R42PJ617D,Kamenyagwaza,,,,,,,,Duplicate,Nkhotakota,,
TA Kanyenda,99SQ449VSE9,,83R42PJ617D,Kanyenda,,,,,,,,,Nkhotakota,,
TA Makuta,7FBV2XWSQ09,,83R42PJ617D,Makuta,,,,,,,,,Nkhotakota,,
TA Malengachanzi,30DAWLMN424,,83R42PJ617D,Malengachanzi,,,,,,,,,Nkhotakota,,
TA Mphonde,WCQF0248J8V,,83R42PJ617D,Mphonde,,,,,,,,,Nkhotakota,,
TA Mwadzama,WDA93HWD34S,,83R42PJ617D,Mwadzama,,,,,,,,,Nkhotakota,,
TA Mwansambo,7I82MY0ICGI,,83R42PJ617D,Mwansambo,,,,,,,,,Nkhotakota,,
TA Chimombo,FZ7UL9IEJW0,,T17D43A575W,Chimombo,,,,,,,,Duplicate,Nsanje,,
TA Makoko,SI50J7ZNG2U,,T17D43A575W,Makoko,,,,,,,,,Nsanje,,
TA Malemia,3KGMJ16PK0O,,T17D43A575W,Malemia,,,,,,,,Duplicate,Nsanje,,
TA Mbenje,AZCVH4P9OFL,,T17D43A575W,Mbenje,,,,,,,,,Nsanje,,
TA Mlolo,YIH8I7165EW,,T17D43A575W,Mlolo,,,,,,,,,Nsanje,,
TA Ndamera,8T1R3384D95,,T17D43A575W,Ndamera,,,,,,,,,Nsanje,,
TA Tengani,HUQBO1H8LA5,,T17D43A575W,Tengani,,,,,,,,,Nsanje,,
TA Chakhumbira,35V81XW7592,,0CP1CKU2WT5,Chakhumbira,,,,,,,,,Ntcheu,,
TA Champiti,4VWX73X1JHO,,0CP1CKU2WT5,Champiti,,,,,,,,,Ntcheu,,
TA Ganya,L4GHLZ3KHB3,,0CP1CKU2WT5,Ganya,,,,,,,,,Ntcheu,,
TA Gomani,7TA46X9S49F,,0CP1CKU2WT5,Gomani,,,,,,,,,Ntcheu,,
TA Kwataine,X7E5YGZZKH9,,0CP1CKU2WT5,Kwataine,,,,,,,,,Ntcheu,,
TA Makwangwala,P5040M5B3Z6,,0CP1CKU2WT5,Makwangwala,,,,,,,,,Ntcheu,,
TA Masasa,FWTL4HF6UY0,,0CP1CKU2WT5,Masasa,,,,,,,,,Ntcheu,,
TA Mpando,UXB0CFKYJ89,,0CP1CKU2WT5,Mpando,,,,,,,,,Ntcheu,,
TA Njolomole,DHZPEB6697G,,0CP1CKU2WT5,Njolomole,,,,,,,,,Ntcheu,,
TA Phambala,2Q5QFLO4480,,0CP1CKU2WT5,Phambala,,,,,,,,,Ntcheu,,
TA Chikho,7LZ27TR42YK,,EKM7K3C099P,Chikho,,,,,,,,,Ntchisi,,
TA Chilooko,34EL2N2E4A5,,EKM7K3C099P,Chilooko,,,,,,,,,Ntchisi,,
TA Kalumo,9U36W2285J4,,EKM7K3C099P,Kalumo,,,,,,,,,Ntchisi,,
TA Kasakulu,0Z8E52MN6EG,,EKM7K3C099P,Kasakulu,,,,,,,,,Ntchisi,,
TA Malenga,R2CO263XN3T,,EKM7K3C099P,Malenga,,,,,,,,,Ntchisi,,
TA Nthondo,GD41NC19L10,,EKM7K3C099P,Nthondo,,,,,,,,,Ntchisi,,
TA Vuso Jere,HZ5B91Y7Y30,,EKM7K3C099P,Vuso Jere,,,,,,,,,Ntchisi,,
Sub TA Phweremwe,4F335NSM9S6,,63SE8971XMH,Sub TA Phweremwe,,,,,,,,,Phalombe,,
TA Chiwalo,X0VU3E62QNC,,63SE8971XMH,TA Chiwalo,,,,,,,,Duplicate,Phalombe,,
STA Lulanga,8F446NSM7S7,,3D33MR4I446,STA Lulanga,,,,,,,,,,,
TA Jenala,B1ZJA98731X,,63SE8971XMH,TA Jenala,,,,,,,,,Phalombe,,
TA Kaduya,2W0Z6ND7PBY,,63SE8971XMH,TA Kaduya,,,,,,,,,Phalombe,,
TA Mkhumba,18G6S1PSYFA,,63SE8971XMH,TA Mkhumba,,,,,,,,,Phalombe,,
TA Nazombe,9W0C868U736,,63SE8971XMH,TA Nazombe,,,,,,,,,Phalombe,,
TA Nkhulambe,IIWG03M2282,,63SE8971XMH,TA Nkhulambe,,,,,,,,,Phalombe,,
STA Chapinduka,1Q4X557G6BI,,ID12CT8H1C6,Chapinduka,,,,,,,,,Rumphi,,
STA Chisovya,NH02S0ITEN6,,ID12CT8H1C6,Chisovya,,,,,,,,,Rumphi,,
STA Kachulu,ST2AB157CU3,,ID12CT8H1C6,Kachulu,,,,,,,,,Rumphi,,
TA Mwahenga,31VV7L2UUL8,,ID12CT8H1C6,Mwahenga,,,,,,,,,Rumphi,,
STA Njikula,4S4A0YQ40SS,,ID12CT8H1C6,Njikula,,,,,,,,,Rumphi,,
STA Zolokele,D34G54JIS26,,ID12CT8H1C6,Zolokele,,,,,,,,,Rumphi,,
TA Chikulamayembe,ZX463M96601,,ID12CT8H1C6,Chikulamayembe,,,,,,,,,Rumphi,,
TA Katumbi,F7O9W2U1823,,ID12CT8H1C6,Katumbi,,,,,,,,,Rumphi,,
TA Mwalweni,818VE966523,,ID12CT8H1C6,Mwalweni,,,,,,,,,Rumphi,,
TA Mwamlowe,Z08P38S4E5W,,ID12CT8H1C6,Mwamlowe,,,,,,,,,Rumphi,,
TA Mwankhunikira,GE2N62L45P4,,ID12CT8H1C6,Mwankhunikira,,,,,,,,,Rumphi,,
TA Bibi Kuluunda,5S8S6364EMN,,89O2R8M1H8R,Bibi Kuluunda,,,,,,,,,Salima,,
TA Kalonga,98ICSJ2OIC7,,89O2R8M1H8R,Kalonga,,,,,,,,,Salima,,
