,newly_cove,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,VARNAME_2,NL_NAME_2,HASC_2,CC_2,TYPE_2,ENGTYPE_2,VALIDFR_2,VALIDTO_2,REMARKS_2,Shape_Leng,Shape_Area,priority,geometry
0,80299.8125,157,MWI,Malawi,1962,Lilongwe,22804,Lilongwe City,,,,,City,City,Unknown,Unknown,,1.19060146529,0.036144239563,1,POINT (33.83624986828053 -13.98791639586372)
1,60041.73828125,157,MWI,Malawi,1954,Blantyre,22733,TA Machinjili,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.685427242832,0.0059991656575,2,POINT (35.10291652988053 -15.87124972166372)
2,47078.53515625,157,MWI,Malawi,1962,Lilongwe,22810,TA Chimutu,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.0606688489,0.033652409646,3,POINT (33.86124986818053 -13.91291639616372)
3,37342.703125,157,MWI,Malawi,1962,Lilongwe,22806,SC Mtema,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.70801846839,0.0141933077565,4,POINT (33.63624986908053 -13.70458306366372)
4,35143.63671875,157,MWI,Malawi,1962,Lilongwe,22815,TA Kalumba,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.301819829271,0.004009067417,5,POINT (33.78624986848053 -14.09624972876372)
5,35083.62890625,157,MWI,Malawi,1962,Lilongwe,22818,TA Malili,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.04525606891,0.0261294698595,6,POINT (33.65291653568053 -14.08791639546372)
6,34936.2890625,157,MWI,Malawi,1965,Mchinji,22853,TA Zulu,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.27061965304,0.0391664655745,7,POINT (33.07791653798053 -13.82124972986372)
7,34055.50390625,157,MWI,Malawi,1962,Lilongwe,22804,Lilongwe City,,,,,City,City,Unknown,Unknown,,1.19060146529,0.036144239563,8,POINT (33.73624986868053 -13.96291639596372)
8,33300.47265625,157,MWI,Malawi,1954,Blantyre,22727,Blantyre City,,,,,City,City,Unknown,Unknown,,0.882019276165,0.0200730590145,9,POINT (35.00291653028053 -15.71291638896372)
9,32934.80859375,157,MWI,Malawi,1962,Lilongwe,22819,TA Mazengera,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.970241000617,0.0289047830875,10,POINT (34.03624986748053 -14.02124972906372)
10,32154.486328125,157,MWI,Malawi,1977,Thyolo,22961,TA Changata,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.592565583731,0.0102293977595,11,POINT (35.19458319618053 -16.17124972046372)
11,31364.587890625,157,MWI,Malawi,1958,Dedza,22767,TA Kaphuka,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.08674396761,0.051173809676,12,POINT (34.12791653378053 -14.27124972806372)
12,30206.884765625,157,MWI,Malawi,1954,Blantyre,22735,TA Somba,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.849448000292,0.0213555332505,13,POINT (35.00291653028053 -15.86291638836372)
13,29806.103515625,157,MWI,Malawi,1962,Lilongwe,22809,TA Chadza,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.24446888639,0.0311840690165,14,POINT (33.83624986828053 -14.21291639496372)
14,29543.7109375,157,MWI,Malawi,1974,Phalombe,22930,TA Mkhumba,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.50665403228,0.071292246945,15,POINT (35.61958319448053 -15.67958305576372)
15,29454.19921875,157,MWI,Malawi,1958,Dedza,22769,TA Pemba,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.79139017071,0.067884691909,16,POINT (34.01958320088053 -14.34624972776372)
16,29234.55078125,157,MWI,Malawi,1978,Zomba,22969,SC Mbiza,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,1.04057317157,0.038274776265,17,POINT (35.30291652908053 -15.53791638966372)
17,29030.158203125,157,MWI,Malawi,1966,Mulanje,22858,TA Chikumbu,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.635515422528,0.0125982899025,18,POINT (35.36958319548053 -16.05458305426372)
18,28826.37890625,157,MWI,Malawi,1976,Salima,22950,TA Khombedza,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.45998031842,0.0347414044865,19,POINT (34.36958319948053 -13.56291639756372)
19,28799.6875,157,MWI,Malawi,1962,Lilongwe,22809,TA Chadza,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.24446888639,0.0311840690165,20,POINT (33.86124986818053 -14.06291639556372)
20,28757.072265625,157,MWI,Malawi,1962,Lilongwe,22807,SC Njewa,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.438491038475,0.008683224925,21,POINT (33.58624986928053 -13.93791639606372)
21,28603.240234375,157,MWI,Malawi,1959,Dowa,22778,TA Dzoole,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.28671233622,0.0301280403365,22,POINT (33.75291653528053 -13.47124973126372)
22,28520.865234375,157,MWI,Malawi,1959,Dowa,22776,SC Mponela,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.894835392743,0.0133258175895,23,POINT (33.77791653518053 -13.58791639746372)
23,27964.802734375,157,MWI,Malawi,1962,Lilongwe,22804,Lilongwe City,,,,,City,City,Unknown,Unknown,,1.19060146529,0.036144239563,24,POINT (33.76124986858053 -13.81291639656372)
24,27884.60546875,157,MWI,Malawi,1959,Dowa,22775,SC Mkukula,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,1.07974997371,0.032171032531,25,POINT (33.84458320158053 -13.72124973026372)
25,27628.08203125,157,MWI,Malawi,1962,Lilongwe,22810,TA Chimutu,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.0606688489,0.033652409646,26,POINT (33.85291653488053 -13.82958306316372)
26,27149.263671875,157,MWI,Malawi,1959,Dowa,22778,TA Dzoole,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.28671233622,0.0301280403365,27,POINT (33.71124986878053 -13.65458306386372)
27,27018.044921875,157,MWI,Malawi,1960,Karonga,22785,TA Kilupula,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.900498345367,0.0270720090385,28,POINT (33.86124986818053 -9.812916412563716)
28,26837.244140625,157,MWI,Malawi,1974,Phalombe,22930,TA Mkhumba,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.50665403228,0.071292246945,29,POINT (35.62791652778053 -15.51291638976372)
29,26772.845703125,157,MWI,Malawi,1966,Mulanje,22860,TA Nkanda,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.00509436843,0.030456427913,30,POINT (35.44458319518053 -15.92124972146372)
30,26761.12109375,157,MWI,Malawi,1959,Dowa,22779,TA Msakambewa,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.30291170478,0.037079566144,31,POINT (33.83624986828053 -13.52124973106372)
31,26740.361328125,157,MWI,Malawi,1956,Chiradzulu,22749,TA Kadewere,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.770690295358,0.0175398916635,32,POINT (35.30291652908053 -15.76291638876372)
32,25878.80859375,157,MWI,Malawi,1977,Thyolo,22956,SC Kwethemule,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.584491760078,0.0127378063135,33,POINT (35.07791652998053 -16.21291638696372)
33,25809.60546875,157,MWI,Malawi,1978,Zomba,22969,SC Mbiza,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,1.04057317157,0.038274776265,34,POINT (35.32791652898053 -15.62958305596372)
34,25475.197265625,157,MWI,Malawi,1959,Dowa,22774,SC Kayembe,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,1.13744656495,0.036983905253,35,POINT (33.51958320288053 -13.69624973036372)
35,24880.275390625,157,MWI,Malawi,1963,Machinga,22832,TA Liwonde,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.43980216005,0.0368110327225,36,POINT (35.51958319488053 -14.78791639266372)
36,24862.5390625,157,MWI,Malawi,1962,Lilongwe,22814,TA Kalolo,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.34856633158,0.05096872578,37,POINT (33.46124986978053 -13.95458306266372)
37,24694.4453125,157,MWI,Malawi,1962,Lilongwe,22809,TA Chadza,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.24446888639,0.0311840690165,38,POINT (33.90291653468053 -14.16291639516372)
38,24594.873046875,157,MWI,Malawi,1958,Dedza,22767,TA Kaphuka,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.08674396761,0.051173809676,39,POINT (34.08624986728053 -14.20458306166372)
39,24523.087890625,157,MWI,Malawi,1978,Zomba,22975,TA Mwambo,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.934116267822,0.036883118067,40,POINT (35.39458319538053 -15.45458305666372)
40,24498.5703125,157,MWI,Malawi,1962,Lilongwe,22817,TA Khongoni,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.27037419139,0.04760924507,41,POINT (33.38624987008053 -13.69624973036372)
41,24037.28515625,157,MWI,Malawi,1962,Lilongwe,22814,TA Kalolo,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.34856633158,0.05096872578,42,POINT (33.37791653678053 -14.09624972876372)
42,23982.59375,157,MWI,Malawi,1978,Zomba,22969,SC Mbiza,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,1.04057317157,0.038274776265,43,POINT (35.46124986178053 -15.57958305616372)
43,23780.490234375,157,MWI,Malawi,1974,Phalombe,22931,TA Nazombe,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.27998373426,0.042371579261,44,POINT (35.74458319398053 -15.60458305606372)
44,23699.86328125,157,MWI,Malawi,1962,Lilongwe,22818,TA Malili,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.04525606891,0.0261294698595,45,POINT (33.60291653588053 -14.02958306236372)
45,23349.91015625,157,MWI,Malawi,1962,Lilongwe,22813,TA Kabudula,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.13602156116,0.044920200723,46,POINT (33.51958320288053 -13.80458306326372)
46,23080.29296875,157,MWI,Malawi,1977,Thyolo,22961,TA Changata,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.592565583731,0.0102293977595,47,POINT (35.12791652978053 -16.29624971996372)
47,23058.037109375,157,MWI,Malawi,1963,Machinga,22827,SC Mlomba,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.906977064554,0.031062442802,48,POINT (35.48624986168053 -15.07958305816372)
48,22811.626953125,157,MWI,Malawi,1974,Phalombe,22930,TA Mkhumba,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.50665403228,0.071292246945,49,POINT (35.54458319478053 -15.71291638896372)
49,22526.806640625,157,MWI,Malawi,1963,Machinga,22831,TA Kawinga,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.55770331333,0.0782040956585,50,POINT (35.55291652808053 -14.92958305876372)
50,22453.92578125,157,MWI,Malawi,1977,Thyolo,22958,SC Mphuka,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.606720024977,0.013390264483,51,POINT (35.02791653018053 -16.11291638736372)
51,22251.9375,157,MWI,Malawi,1976,Salima,22948,SC Mwanza,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.640151972794,0.010964050466,52,POINT (34.13624986708053 -13.62958306396372)
52,22219.130859375,157,MWI,Malawi,1977,Thyolo,22964,TA Nchilamwela,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.802315731421,0.0151924092535,53,POINT (35.20291652948053 -16.04624972096372)
53,22155.419921875,157,MWI,Malawi,1965,Mchinji,22850,SC Mduwa,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,1.2298591879,0.047900896284,54,POINT (33.03624987148053 -13.69624973036372)
54,22094.73046875,157,MWI,Malawi,1963,Machinga,22825,SC Chikweo,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.833958323318,0.0276677638345,55,POINT (35.74458319398053 -14.77958305936372)
55,22091.775390625,157,MWI,Malawi,1966,Mulanje,22860,TA Nkanda,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.00509436843,0.030456427913,56,POINT (35.52791652818053 -15.82958305516372)
56,22060.53515625,157,MWI,Malawi,1966,Mulanje,22860,TA Nkanda,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.00509436843,0.030456427913,57,POINT (35.40291652868053 -15.85458305506372)
57,21850.44921875,157,MWI,Malawi,1962,Lilongwe,22814,TA Kalolo,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.34856633158,0.05096872578,58,POINT (33.51124986958053 -14.05458306226372)
58,21499.287109375,157,MWI,Malawi,1965,Mchinji,22853,TA Zulu,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.27061965304,0.0391664655745,59,POINT (32.94458320518053 -13.82124972986372)
59,21445.0390625,157,MWI,Malawi,1972,Ntcheu,22915,SC Makwangwala,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.994030973689,0.042178732795,60,POINT (34.82791653098053 -14.88791639226372)
60,21438.314453125,157,MWI,Malawi,1977,Thyolo,22957,SC Mbawela,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.599101641802,0.011062250911,61,POINT (35.26124986258053 -16.22958305356372)
61,21357.775390625,157,MWI,Malawi,1964,Mangochi,22838,SC Chowe,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,2.1318418087,0.052806084378,62,POINT (35.34458319558053 -14.52124972706372)
62,21246.6328125,157,MWI,Malawi,1964,Mangochi,22841,TA Chimwala,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.67519552087,0.0747236575755,63,POINT (35.18624986288053 -14.50458306046372)
63,21209.44921875,157,MWI,Malawi,1958,Dedza,22764,SC Chilikumwendo,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.807029402807,0.020249802387,64,POINT (33.84458320158053 -14.34624972776372)
64,21117.208984375,157,MWI,Malawi,1966,Mulanje,22859,TA Mabuka,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.53715181463,0.0349875646725,65,POINT (35.64458319438053 -16.01291638776372)
65,21085.732421875,157,MWI,Malawi,1959,Dowa,22778,TA Dzoole,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.28671233622,0.0301280403365,66,POINT (33.61124986918053 -13.52958306436372)
66,20973.748046875,157,MWI,Malawi,1973,Ntchisi,22926,TA Kalumo,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.15914746569,0.0437987100015,67,POINT (33.85291653488053 -13.35458306506372)
67,20725.634765625,157,MWI,Malawi,1962,Lilongwe,22816,TA Kalumbu,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.694994038256,0.0167715322555,68,POINT (34.00291653428053 -14.16291639516372)
68,20641.15625,157,MWI,Malawi,1972,Ntcheu,22915,SC Makwangwala,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.994030973689,0.042178732795,69,POINT (34.94458319718053 -14.84624972576372)
69,20575.830078125,157,MWI,Malawi,1969,Nkhata Bay,22882,Lake Malawi,,,,,Water body,Water body,Unknown,Unknown,,5.17433556692,0.651825041383,70,POINT (34.26958319988053 -11.62958307196372)
70,20563.66015625,157,MWI,Malawi,1976,Salima,22952,TA Maganga,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.628572178605,0.014379475406,71,POINT (34.51124986558053 -13.79624972996372)
71,20530.3125,157,MWI,Malawi,1970,Nkhotakota,22899,TA Malenga Chanzi,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.991092241374,0.026714837318,72,POINT (34.29458319978053 -13.01291639976372)
72,20515.375,157,MWI,Malawi,1978,Zomba,22971,TA Chikowi,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.67367195125,0.0151631725115,73,POINT (35.29458319578053 -15.44624972336372)
73,20466.71484375,157,MWI,Malawi,1960,Karonga,22785,TA Kilupula,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.900498345367,0.0270720090385,74,POINT (33.87791653478053 -9.704583079663717)
74,20441.701171875,157,MWI,Malawi,1962,Lilongwe,22811,TA Chiseka,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,2.0578661368,0.133192216875,75,POINT (33.69458320218053 -14.23791639486372)
75,20439.880859375,157,MWI,Malawi,1965,Mchinji,22849,SC Mavwere,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,1.53501017907,0.0390205120475,76,POINT (33.15291653768053 -13.88791639626372)
76,20433.70703125,157,MWI,Malawi,1961,Kasungu,22795,SC Njombwa,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.808108220484,0.022290838882,77,POINT (33.53624986948053 -13.22124973226372)
77,20367.1484375,157,MWI,Malawi,1964,Mangochi,22845,TA Mponda,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.55395669404,0.0614003559445,78,POINT (35.28624986248053 -14.41291639416372)
78,20351.93359375,157,MWI,Malawi,1977,Thyolo,22962,TA Chimaliro,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.873720130045,0.023516148656,79,POINT (35.14458319638053 -15.92958305476372)
79,20319.498046875,157,MWI,Malawi,1962,Lilongwe,22814,TA Kalolo,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.34856633158,0.05096872578,80,POINT (33.32791653698053 -13.92958306276372)
80,20223.677734375,157,MWI,Malawi,1958,Dedza,22768,TA Kasumbu,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.02594078417,0.048269557709,81,POINT (34.37791653278053 -14.32124972786372)
81,20152.908203125,157,MWI,Malawi,1958,Dedza,22766,TA Kachindamoto,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.12978212912,0.0580482302605,82,POINT (34.60291653188053 -14.35458306106372)
82,19940.265625,157,MWI,Malawi,1962,Lilongwe,22819,TA Mazengera,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.970241000617,0.0289047830875,83,POINT (33.95291653448053 -13.92958306276372)
83,19801.6171875,157,MWI,Malawi,1958,Dedza,22764,SC Chilikumwendo,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.807029402807,0.020249802387,84,POINT (34.01958320088053 -14.28791639466372)
84,19761.474609375,157,MWI,Malawi,1970,Nkhotakota,22896,SC Mphonde,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.545011203137,0.010488526755,85,POINT (34.23624986668053 -12.86291640036372)
85,19607.55859375,157,MWI,Malawi,1962,Lilongwe,22819,TA Mazengera,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.970241000617,0.0289047830875,86,POINT (33.96958320108053 -14.07124972886372)
86,19485.5,157,MWI,Malawi,1962,Lilongwe,22813,TA Kabudula,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.13602156116,0.044920200723,87,POINT (33.63624986908053 -13.87958306296372)
87,19459.4296875,157,MWI,Malawi,1955,Chikwawa,22742,TA Katunga,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.700332431083,0.0136137370745,88,POINT (34.72791653138053 -16.16291638716372)
88,19418.94921875,157,MWI,Malawi,1972,Ntcheu,22915,SC Makwangwala,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.994030973689,0.042178732795,89,POINT (34.83624986428053 -14.74624972616372)
89,19315.35546875,157,MWI,Malawi,1962,Lilongwe,22810,TA Chimutu,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.0606688489,0.033652409646,90,POINT (33.99458320098053 -13.82958306316372)
90,19255.2734375,157,MWI,Malawi,1966,Mulanje,22857,SC Laston Njema,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.843003976818,0.0110209291225,91,POINT (35.78624986048053 -15.98791638786372)
91,19235.35546875,157,MWI,Malawi,1956,Chiradzulu,22753,TA Nkalo,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.581722819853,0.0111197430225,92,POINT (35.21124986278053 -15.84624972176372)
92,19138.484375,157,MWI,Malawi,1954,Blantyre,22729,TA Kapeni,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.13001633758,0.0178340681135,93,POINT (34.97791653038053 -15.57958305616372)
93,19115.42578125,157,MWI,Malawi,1963,Machinga,22831,TA Kawinga,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.55770331333,0.0782040956585,94,POINT (35.61958319448053 -14.82124972586372)
94,19027.84765625,157,MWI,Malawi,1972,Ntcheu,22914,SC Goodson Ganya,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,1.18825831853,0.061827840234,95,POINT (34.66124986498053 -14.66291639316372)
95,19007.56640625,157,MWI,Malawi,1976,Salima,22953,TA Ndindi,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.70410035937,0.017132917454,96,POINT (34.50291653228053 -13.92124972946372)
96,18976.96875,157,MWI,Malawi,1962,Lilongwe,22805,SC Chitekwele,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,1.10415413348,0.031085587941,97,POINT (34.10291653388053 -13.96291639596372)
97,18964.95703125,157,MWI,Malawi,1956,Chiradzulu,22752,TA Nchema,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.515101433121,0.0079806605675,98,POINT (35.18624986288053 -15.58791638946372)
98,18800.767578125,157,MWI,Malawi,1964,Mangochi,22845,TA Mponda,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.55395669404,0.0614003559445,99,POINT (35.18624986288053 -14.41291639416372)
99,18740.396484375,157,MWI,Malawi,1965,Mchinji,22853,TA Zulu,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.27061965304,0.0391664655745,100,POINT (33.22791653738053 -13.73791639686372)
